LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
TripletLoss,delta,max,,,,32,10,0.001,0,0.1,5,100%,93.9%
ContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.1,2,100%,91.5%
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.5,2,99.9%,89.7%
CrossEntropy,delta,max,CD,2,0,32,10,0.001,0.1,0,,99.8%,87.7%
CrossEntropy,delta,max,CD,3,0.975,32,10,0.001,1,0.8,,97.3%,83.9%
TripletLoss,other,max,,,,32,10,0.001,0,0.8,0.2,100%,82.5%
ContrastiveLoss,other,max,,,,32,10,0.001,0,0.8,2,99.7%,89.9%
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0,0.8,0.2,96.6%,90.3%
CrossEntropy,other,max,CD,2,0,32,10,0.001,1,0.8,,98.1%,81.9%
CrossEntropy,other,max,CD,3,0.975,32,10,0.001,0.1,0.2,,97.7%,76.2%
CrossEntropy,other,max,CD,5,0,32,10,0.001,0,0.8,,97.8%,82.9%
CrossEntropy,other,max,CD,6,0.975,32,10,0.001,0,0,,95.2%,79.5%
